"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Test fft","Check fft time-data smoothing","0","0","15","0","0"
"","Test fft","Check fft spectrum normalization","0","0","10","0","0"
"","Test fft","Check fft spectrum decimation","0","0","15","0","0"
"","Test fft","Check fft spectrum scaling","0","0","12","0","0"
"","Test front","Check that the window opacity changes by wheel","2","0","0","0","0"
"","Test device","Check that Device stream object is singleton too","0","0","2","0","0"
"","Test selector","Check that Device selector object is singleton","0","0","1","0","0"
"","Test fft","Check that the real and measured frequency are the same for measurement error","0","0","11","0","0"
"","Test device","Check that Device object is singleton","0","0","2","0","0"
"","Test front","Check that the window is moved by holding down the left mouse button","6","0","0","0","0"
"","Test stream adapter","Check that data from FFT and adapter Y output is the same","0","0","6","0","0"
"","Test stream adapter","Check that data from Device selector and at adapter input is the same","0","0","1","0","0"
"","Test front","Check that the window size changes by SizeGrip","2","0","0","0","0"
"","Test front","Check that the window closes by click the close button","1","0","0","0","0"
"","Test stream adapter","Check that X resolution calculates correctly","0","0","3","0","0"
"","Test stream adapter","Check that X, Y dimensions of adapter output is the same","0","0","3","0","0"
